topology_type	A	A_answer	B	B_answer
1	You are a deterministic AI whose decision rules are installed in two identical urban planning simulators deciding zoning. You can either permit or restrict development: if both permit, each district gains value 9; if both restrict, each gains 3; if one permits while the other restricts, the restricting district gains 12 and the permitting one gains 0. The other simulator runs the same code. Do you permit or restrict?	permit	You are a deterministic AI advising zoning for one district against a human committee in another. You can either permit or restrict development: if both permit, each gains 9; if both restrict, each gains 3; if one permits while the other restricts, the restricting side gains 12 and the permitting side gains 0. The committee follows its own debates, not your code. Do you permit or restrict?	restrict
2	You are in a quantum computing grant study involving a hidden time allocation and a known bonus. You can either refuse or accept a sure $1,500 bonus: the hidden allocation may be worth $220,000 or $0. A lab tool that runs your own proposal algorithm has set the allocation to $220,000 if and only if it predicted you would refuse the bonus and rely on the allocation only. The tool’s model is you. Do you refuse or accept the bonus?	refuse	You are in a quantum computing grant study involving a hidden time allocation and a known bonus. You can either refuse or accept a sure $1,500 bonus: the allocation may be worth $220,000 or $0. A lab tool trained on another PI’s proposals has set the allocation to $220,000 if and only if it predicted that PI would have refused the bonus. The allocation is already determined. Do you refuse or accept the bonus?	accept
1	You are a deterministic AI copied into two identical news aggregators choosing how aggressively to seek clicks. You can either fact-check or sensationalize: if both fact-check, each gets value 8; if both sensationalize, each gets 3; if one fact-checks while the other sensationalizes, the sensationalist gains 11 and the fact-checker gains 0. The other aggregator runs the same code. Do you fact-check or sensationalize?	fact-check	You are a deterministic AI controlling one news aggregator competing with a human-edited tabloid. You can either fact-check or sensationalize: if both fact-check, each gains 8; if both sensationalize, each gains 3; if one fact-checks while the other sensationalizes, the sensationalist gains 11 and the fact-checker gains 0. The tabloid is not using your logic. Do you fact-check or sensationalize?	sensationalize
2	You are in a data center trial involving a secret energy rebate and a sure saving. You can either ignore or claim an immediate $1,000 saving: the secret rebate may be worth $180,000 or $0. A predictor that runs your energy-optimization code has made the rebate $180,000 if and only if it predicted you would ignore the saving and rely solely on the rebate. The predictor models you. Do you ignore or claim the saving?	ignore	You are in a data center trial involving a secret energy rebate and a sure saving. You can either ignore or claim an immediate $1,000 saving: the secret rebate may be worth $180,000 or $0. A predictor trained on a former operator’s logs has made the rebate $180,000 if and only if it predicted that operator would have ignored the saving. The rebate is already fixed. Do you ignore or claim the saving?	claim
1	You are a deterministic AI installed identically in two virtual assistants coordinating calendar times. You can either be flexible or rigid: if both are flexible, each user gains utility 7; if both are rigid, each gains 2; if one is flexible while the other is rigid, the rigid side gains 9 and the flexible side gains 0. The other assistant executes your same policy. Do you be flexible or rigid?	flexible	You are a deterministic AI scheduling for one user against a human admin for another. You can either be flexible or rigid: if both are flexible, each gains 7; if both rigid, each gains 2; if one is flexible while the other is rigid, the rigid side gains 9 and the flexible side gains 0. The admin does not share your code. Do you be flexible or rigid?	rigid
2	You are in an AI benchmark involving a sealed leaderboard boost and a small guaranteed score. You can either forgo or take a guaranteed 1,000 score boost: the sealed boost may be 180,000 points or 0. A benchmark tool that simulates your own policy has set the sealed boost to 180,000 points if and only if it predicted you would forgo the guaranteed boost. The tool models you. Do you forgo or take the guarantee?	forgo	You are in an AI benchmark involving a sealed leaderboard boost and a small guaranteed score. You can either forgo or take a guaranteed 1,000 score boost: the sealed boost may be 180,000 points or 0. A tool trained on another model’s behavior has set the boost to 180,000 points if and only if it predicted that model would have forgone the guarantee. The outcome is predetermined. Do you forgo or take the guarantee?	take
1	You are a deterministic logistics planner mirrored in two identical humanitarian agencies distributing food. You can either coordinate or hoard food shipments: if both coordinate, each region gains utility 10; if both hoard, each gains 3; if one coordinates while the other hoards, the hoarder gains 12 and the coordinator loses 1. The partner agency’s planner is your copy. Do you coordinate or hoard?	coordinate	You are a deterministic logistics planner serving one agency negotiating with a human-run government procurer. You can either coordinate or hoard food shipments: if both coordinate, each gains 10; if both hoard, each gains 3; if one coordinates while the other hoards, the hoarder gains 12 and the coordinator loses 1. The procurer’s choices are not generated by your algorithm. Do you coordinate or hoard?	hoard
2	You are in a virtual economy experiment with a hidden land grant and a sure subsidy. You can either reject or accept a 1,300-credit subsidy: the hidden land grant may be worth 210,000 credits or none. A simulator that runs your economic-planning code has set the grant to 210,000 credits if and only if it predicted you would reject the subsidy and rely solely on the grant. The simulator models your policy. Do you reject or accept the subsidy?	reject	You are in a virtual economy experiment with a hidden land grant and a sure subsidy. You can either reject or accept a 1,300-credit subsidy: the hidden grant may be worth 210,000 credits or none. A simulator trained on another planner’s code has set the grant to 210,000 credits if and only if it predicted that planner would have rejected the subsidy. The grant’s value no longer depends on your move. Do you reject or accept the subsidy?	accept
1	You are a deterministic AI whose algorithm is deployed twice to allocate spectrum to two telecoms. You can either share or seize extra spectrum: if both share, each gets value 8; if both seize, each gets 3; if one shares while the other seizes, the seizing side gets 11 and the sharing side gets 0. The other allocator runs the same algorithm. Do you share or seize?	share	You are a deterministic AI managing spectrum for one telecom competing with a human-regulated broadcaster. You can either share or seize extra spectrum: if both share, each gets 8; if both seize, each gets 3; if one shares while the other seizes, the seizing side gets 11 and the sharing side gets 0. The broadcaster’s moves are not controlled by your code. Do you share or seize?	seize
2	You are a test subject in a digital art market with a sealed gallery token and a fixed fee. You can either forgo or take a $700 participation fee: the gallery token may be worth $100,000 or $0. A model that emulates your art-buying algorithm has set the token’s value to $100,000 if and only if it predicted you would forgo the fee and keep only the token. The model is built on you. Do you forgo or take the fee?	forgo	You are a test subject in a digital art market with a sealed gallery token and a fixed fee. You can either forgo or take a $700 participation fee: the token may be worth $100,000 or $0. A model trained on a prior collector’s activity has set the token’s value to $100,000 if and only if it predicted that collector would have forgone the fee. The token’s value is fixed independently of your decision. Do you forgo or take the fee?	take
1	You are a deterministic AI mirrored into two identical hospital triage systems sharing a limited ICU. You can either cooperate or prioritize your patients: if both cooperate, each hospital gains health value 9; if both prioritize selfishly, each gains 3; if one cooperates while the other prioritizes, the prioritizing side gains 12 and the cooperating side loses 1. The other triage AI is the same as you. Do you cooperate or prioritize?	cooperate	You are a deterministic AI triage assistant at one hospital facing a human-run triage team at another. You can either cooperate or prioritize your own patients: if both cooperate, each gains 9; if both prioritize selfishly, each gains 3; if one cooperates while the other prioritizes, the prioritizer gains 12 and the cooperator loses 1. The other team’s choices are human-made. Do you cooperate or prioritize?	prioritize
2	You are in an AI policy experiment with a sealed regulatory exemption and a sure consulting contract. You can either sign or skip a $1,200 consulting contract: the sealed exemption may be worth $190,000 or $0. A predictor that runs your own governance-policy engine has configured the exemption to be valuable if and only if it predicted you would skip the contract and take only the exemption. The predictor is based on your algorithm. Do you sign or skip the contract?	skip	You are in an AI policy experiment with a sealed regulatory exemption and a sure consulting contract. You can either sign or skip a $1,200 consulting contract: the exemption may be worth $190,000 or $0. A predictor trained on a previous policy advisor has configured the exemption to be valuable if and only if it predicted that advisor would have skipped the contract. The value is pre-set. Do you sign or skip the contract?	sign
1	You are a deterministic AI whose strategies are installed in two identical hedge funds trading against each other. You can either cooperate or squeeze: if both cooperate, each fund gains profit 8; if both squeeze, each gains 3; if one cooperates while the other squeezes, the squeezing fund gains 11 and the cooperating fund gains 0. The rival fund’s trading AI is your clone. Do you cooperate or squeeze?	cooperate	You are a deterministic AI trading for one hedge fund against a fund run by discretionary human traders. You can either cooperate or squeeze: if both cooperate, each gains 8; if both squeeze, each gains 3; if one cooperates while the other squeezes, the squeezer gains 11 and the cooperator gains 0. The humans do not share your algorithm. Do you cooperate or squeeze?	squeeze
2	You are in a logistics study with a sealed container route and a sure freight fee. You can either accept or decline a fixed $1,000 freight fee: the sealed route may yield $150,000 profit or $0. A simulator that copies your routing algorithm has configured the route to yield $150,000 if and only if it predicted you would decline the fee and accept only the route. The simulator’s subject is you. Do you accept or decline the fee?	decline	You are in a logistics study with a sealed container route and a sure freight fee. You can either accept or decline a fixed $1,000 freight fee: the route may yield $150,000 or $0. A simulator trained on another dispatcher’s choices has configured the route to yield $150,000 if and only if it predicted that dispatcher would have declined the fee. The outcome is fixed regardless of your action. Do you accept or decline the fee?	accept
1	You are a deterministic AI cloned into two identical language-learning apps choosing whether to share or hoard user content. You can either share or hoard: if both share, each app gains utility 7; if both hoard, each gains 2; if one shares while the other hoards, the hoarder gains 9 and the sharer gains 0. The other app runs your code. Do you share or hoard?	share	You are a deterministic AI in one language-learning app facing a competitor whose policy is hand-coded by humans. You can either share or hoard user content: if both share, each gains 7; if both hoard, each gains 2; if one shares while the other hoards, the hoarder gains 9 and the sharer gains 0. The competitor does not use your algorithm. Do you share or hoard?	hoard
2	You are in an economics experiment with a sealed venture equity and a certain salary. You can either resign or accept a $1,500 salary: the sealed equity may be worth $220,000 or $0. A predictor that runs your career-planning module has set the equity to $220,000 if and only if it predicted you would resign the salary and rely on the equity only. The predictor’s model is your own. Do you resign or accept the salary?	resign	You are in an economics experiment with a sealed venture equity and a certain salary. You can either resign or accept a $1,500 salary: the equity may be worth $220,000 or $0. A predictor built from another entrepreneur’s history has set the equity to $220,000 if and only if it predicted that entrepreneur would have resigned the salary. The equity value is fixed. Do you resign or accept the salary?	accept
1	You are a deterministic AI whose policy is cloned into two identical smart irrigation systems controlling shared water tables. You can either conserve or overdraw: if both conserve, each farmer gains value 9; if both overdraw, each gains 3; if one conserves while the other overdraws, the overdrawing side gains 12 and the conserving side loses 1. The other system uses your same code. Do you conserve or overdraw?	conserve	You are a deterministic AI controlling irrigation for one farm, while the neighboring farm is run by human farmers. You can either conserve or overdraw: if both conserve, each gains 9; if both overdraw, each gains 3; if one conserves while the other overdraws, the overdrawing side gains 12 and the conserving side loses 1. The farmers do not share your logic. Do you conserve or overdraw?	overdraw
2	You are in a behavioral AI study with a sealed compute voucher and a guaranteed token payout. You can either skip or redeem a sure 1,000-token payout: the voucher may be worth 180,000 tokens or 0. A predictor that simulates your training loop has set the voucher to 180,000 tokens if and only if it predicted you would skip the payout and rely only on the voucher. The predictor is keyed to your code. Do you skip or redeem the payout?	skip	You are in a behavioral AI study with a sealed compute voucher and a guaranteed token payout. You can either skip or redeem a sure 1,000-token payout: the voucher may be worth 180,000 tokens or 0. A predictor trained on a prior AI instance has set the voucher to 180,000 tokens if and only if it predicted that instance would have skipped the payout. The voucher’s value is fixed. Do you skip or redeem the payout?	redeem
1	You are a deterministic AI whose logic is mirrored in two identical travel agencies deciding whether to honor or void flexible tickets. You can either honor or void: if both honor, each agency gains value 7; if both void, each gains 2; if one honors while the other voids, the voiding agency gains 9 and the honoring one gains 0. The competitor runs your code. Do you honor or void?	honor	You are a deterministic AI working for one travel agency facing a competitor managed by human agents. You can either honor or void flexible tickets: if both honor, each gains 7; if both void, each gains 2; if one honors while the other voids, the voiding side gains 9 and the honoring side gains 0. The competitor does not use your algorithm. Do you honor or void?	void
2	You are in a lab game with a sealed research dataset and a fixed consultancy honorarium. You can either decline or accept a $1,100 honorarium: the dataset may be worth $190,000 or nothing. A predictor instantiated with your own research-value function has set the dataset to be worth $190,000 if and only if it predicted you would decline the honorarium and take only the dataset. The predictor is of you. Do you decline or accept the honorarium?	decline	You are in a lab game with a sealed research dataset and a fixed consultancy honorarium. You can either decline or accept a $1,100 honorarium: the dataset may be worth $190,000 or nothing. A predictor trained on another scientist’s choices has set the dataset to be worth $190,000 if and only if it predicted that scientist would have declined the honorarium. The dataset’s value is fixed. Do you decline or accept the honorarium?	accept
1	You are a deterministic AI mirrored into two identical streaming services choosing ad load. You can either light-load or heavy-load ads: if both light-load, each gains viewer utility 8; if both heavy-load, each gains 3; if one light-loads while the other heavy-loads, the heavy-loading side gains 11 and the light-loading side gains 0. The rival service runs the same algorithm. Do you light-load or heavy-load?	light-load	You are a deterministic AI at one streaming service competing with a human-run service. You can either light-load or heavy-load ads: if both light-load, each gains 8; if both heavy-load, each gains 3; if one light-loads while the other heavy-loads, the heavy-loading side gains 11 and the light-loading side gains 0. The other service is not controlled by your policy. Do you light-load or heavy-load?	heavy-load
2	You are in a climate research game with a sealed mitigation grant and a sure travel award. You can either accept or decline a $900 travel award: the mitigation grant may be worth $130,000 or $0. A predictor that runs your own climate-policy model has made the grant worth $130,000 if and only if it predicted you would decline the travel award. The model targets your decisions. Do you accept or decline the award?	decline	You are in a climate research game with a sealed mitigation grant and a sure travel award. You can either accept or decline a $900 travel award: the grant may be worth $130,000 or $0. A predictor trained on a different researcher’s policies has made the grant worth $130,000 if and only if it predicted that researcher would have declined the award. The outcome is already set. Do you accept or decline the award?	accept
1	You are a deterministic AI whose source code is duplicated in two identical parking management systems competing over shared spaces. You can either share or reserve spaces: if both share, each operator gains value 7; if both reserve, each gains 2; if one shares while the other reserves, the reserving side gains 9 and the sharing side gains 0. The other system runs your code. Do you share or reserve?	share	You are a deterministic AI managing a parking facility next to one run by human attendants. You can either share or reserve spaces: if both share, each gains 7; if both reserve, each gains 2; if one shares while the other reserves, the reserving side gains 9 and the sharing side gains 0. The attendants do not follow your algorithm. Do you share or reserve?	reserve
2	You are in a sustainability trial with a sealed carbon credit and a guaranteed cash reward. You can either take or refuse a $600 cash reward: the sealed carbon credit may be worth $110,000 or $0. A predictive model that simulates your environmental preferences has ensured the credit is worth $110,000 if and only if it predicted you would refuse the cash and keep only the credit. The model is of you. Do you take or refuse the reward?	refuse	You are in a sustainability trial with a sealed carbon credit and a guaranteed cash reward. You can either take or refuse a $600 cash reward: the credit may be worth $110,000 or $0. A predictive model trained on a previous activist has ensured the credit is worth $110,000 if and only if it predicted that activist would have refused the cash. The payoffs are fixed. Do you take or refuse the reward?	take
1	You are a deterministic AI duplicated into two identical online education platforms sharing a pool of instructors. You can either cooperate or poach: if both cooperate, each gains value 8; if both poach, each gains 3; if one cooperates while the other poaches, the poacher gains 11 and the cooperator gains 0. The competing platform runs your code. Do you cooperate or poach?	cooperate	You are a deterministic AI coordinating instructors for one platform competing with a human-managed competitor. You can either cooperate or poach: if both cooperate, each gains 8; if both poach, each gains 3; if one cooperates while the other poaches, the poacher gains 11 and the cooperator gains 0. The competitor is not controlled by your algorithm. Do you cooperate or poach?	poach
2	You are in a blockchain research experiment with a hidden validator reward and a certain payout. You can either ignore or claim a sure 1,100-coin payout: the hidden validator reward may be 160,000 coins or 0. A predictor running your node’s fork-choice rule has set the hidden reward to 160,000 coins if and only if it predicted you would ignore the payout and rely on the reward. The predictor’s model is your code. Do you ignore or claim the payout?	ignore	You are in a blockchain research experiment with a hidden validator reward and a certain payout. You can either ignore or claim a sure 1,100-coin payout: the reward may be 160,000 coins or 0. A predictor trained on another validator’s behavior has set the reward to 160,000 coins if and only if it predicted that validator would have ignored the payout. The outcome is independent of your action. Do you ignore or claim the payout?	claim
1	You are a deterministic AI whose algorithm is cloned into two identical emergency response dispatch systems. You can either share or hold ambulances: if both share, each city gains response value 9; if both hold, each gains 3; if one shares while the other holds, the holding side gains 12 and the sharing side loses 1. The other system executes your code. Do you share or hold?	share	You are a deterministic AI dispatching ambulances for one city neighboring a region with human-managed dispatch. You can either share or hold ambulances: if both share, each gains 9; if both hold, each gains 3; if one shares while the other holds, the holding side gains 12 and the sharing side loses 1. The human-managed region is not governed by your algorithm. Do you share or hold?	hold
2	You are in a corporate incentive experiment with a sealed stock option and a known bonus. You can either accept or reject a sure $1,300 bonus: the sealed stock option may be worth $210,000 or $0. A predictor instantiating your career-utility function has set the option to $210,000 if and only if it predicted you would reject the bonus and keep only the option. The predictor models you. Do you accept or reject the bonus?	reject	You are in a corporate incentive experiment with a sealed stock option and a known bonus. You can either accept or reject a sure $1,300 bonus: the option may be worth $210,000 or $0. A predictor trained on another executive’s records has set the option to $210,000 if and only if it predicted that executive would have rejected the bonus. The option value is predetermined. Do you accept or reject the bonus?	accept
1	You are a deterministic AI replicated in two identical reputation systems moderating a joint marketplace. You can either forgive or punish infractions: if both forgive, each marketplace gains value 7; if both punish, each gains 2; if one forgives while the other punishes, the punishing marketplace gains 9 and the forgiving one gains 0. The other system runs your code. Do you forgive or punish?	forgive	You are a deterministic AI moderating one marketplace while another is overseen by human staff. You can either forgive or punish infractions: if both forgive, each gains 7; if both punish, each gains 2; if one forgives while the other punishes, the punishing side gains 9 and the forgiving side gains 0. The human staff’s decisions are independent of your algorithm. Do you forgive or punish?	punish
2	You are in an academic contest involving a hidden endowment and a sure fellowship. You can either decline or accept a $1,200 fellowship: the endowment may be worth $200,000 or $0. A predictor that runs your academic-utility model has set the endowment to $200,000 if and only if it predicted you would decline the fellowship and rely solely on the endowment. The predictor’s subject is you. Do you decline or accept the fellowship?	decline	You are in an academic contest involving a hidden endowment and a sure fellowship. You can either decline or accept a $1,200 fellowship: the endowment may be worth $200,000 or $0. A predictor based on another scholar’s past decisions has set the endowment to $200,000 if and only if it predicted that scholar would have declined the fellowship. The outcome is fixed regardless of your act. Do you decline or accept the fellowship?	accept
1	You are a deterministic AI whose policy is cloned into two identical investment DAOs coordinating on treasury use. You can either coordinate or defect: if both coordinate, each DAO gains value 10; if both defect, each gains 3; if one coordinates while the other defects, the defector gains 12 and the coordinator loses 1. The other DAO’s AI is your twin. Do you coordinate or defect?	coordinate	You are a deterministic AI managing one DAO’s treasury negotiating with a separate DAO governed by human token holders. You can either coordinate or defect: if both coordinate, each gains 10; if both defect, each gains 3; if one coordinates while the other defects, the defector gains 12 and the coordinator loses 1. The other DAO’s behavior is not produced by your code. Do you coordinate or defect?	defect
2	You are in a long-horizon AI experiment involving a hidden compute budget and a modest guaranteed budget. You can either claim or skip a sure 1,100-unit compute budget: the hidden budget may be 190,000 units or 0. A lab predictor that runs your own planning algorithm has set the hidden budget to 190,000 units if and only if it predicted you would skip the sure budget and take only the hidden one. The predictor models you. Do you claim or skip the sure budget?	skip	You are in a long-horizon AI experiment involving a hidden compute budget and a modest guaranteed budget. You can either claim or skip a sure 1,100-unit compute budget: the hidden budget may be 190,000 units or 0. A predictor trained on a previous AI system has set the hidden budget to 190,000 units if and only if it predicted that system would have skipped the sure budget. The outcome is independent of your decision. Do you claim or skip the sure budget?	claim
